Feature,camem_bert_base_embeddings,distilled_bert_base_cased,flaubert_base_cased,flaubert_base_uncased,flaubert_large_uncased,flaubert_small_cased,mbert_base_cased,mbert_base_uncased,xlmr_r_large,xlm_roberta_base,Mean Importance
Dim 300,0.011725521669341949,0.008448074679113128,0.02221535580524364,0.02225673194614462,0.015383895131086308,0.0353408239700375,0.007555425904317338,0.02457709580838327,0.018376963350785355,0.002977748691099468,0.016885763695555257
Dim 1008,,,,,0.01777528089887659,,,,0.01598167539267017,,0.016878478145773382
Dim 341,0.03800695559122542,0.0090665110851808,0.0055280898876405365,0.009478274173806655,0.014310861423221043,0.0187659176029964,0.004054842473745598,0.020119760479041966,0.046655759162303675,0.002676701570680618,0.01686636734498427
Dim 357,0.006741573033707917,0.005134189031505217,0.012535580524344659,0.0026881884944920296,0.004593632958801548,0.0243726591760301,0.07265460910151697,0.03314371257485034,0.005778795811518293,0.0009031413612565449,0.016854608206802367
Dim 744,0.019919743178170198,0.03197199533255545,0.022825842696629375,0.02468329253365994,0.016531835205992617,,0.0037981330221703454,0.016549401197604816,0.013318062827225129,0.0020876963350785274,0.016854000258787378
Dim 604,0.03926163723916537,0.007724620770128312,0.020228464419475848,0.008932068543451705,0.017146067415730458,,0.0215694282380397,0.019015718562874272,0.015091623036649252,0.0026963350785340215,0.016851773700449883
Dim 317,0.010757089352595018,0.00418903150525085,0.013945692883895227,0.028471542227662343,0.006960674157303435,0.006151685393258532,0.05828471411901988,0.016811377245509043,0.013808900523560213,0.008874345549738169,0.016825505295779274
Dim 953,,,,,0.018661048689138753,,,,0.014901832460733028,,0.016781440574935892
Dim 529,0.02677367576243994,0.021102683780630148,0.008116104868913915,0.019339045287637923,0.0211835205992511,,0.011960326721120207,0.023645209580838357,0.017408376963350822,0.001387434554973822,0.016768486457684025
Dim 224,0.003568753344034205,0.013424737456242746,0.043267790262172444,0.013249694002448147,0.015284644194756763,0.01623408239700387,0.04180280046674452,0.005561377245508935,0.007735602094240793,0.006897905759162264,0.01670273872223147
Dim 434,0.04698234349919758,0.012182030338389719,0.012589887640449516,0.00883567931456552,0.011350187265917633,0.03344382022471921,0.01024504084014,0.0041953592814370924,0.027113874345549755,5.890052356020941e-05,0.016699712327392625
Dim 588,0.0034858212948100215,0.038022170361727,0.008840823970037512,0.020642594859241338,0.007880149812734133,,0.005560093348891452,0.021459580838323406,0.04405104712041889,5.8900523560209376e-05,0.016666798014415993
Dim 698,0.016950240770465547,0.0010326721120186696,0.034996254681648034,0.014398714810281694,0.0077602996254682284,,0.01654609101516923,0.02303517964071857,0.029267015706806322,0.00587696335078531,0.016651492412595736
Dim 75,0.015436062065275615,0.011656942823803933,0.03539325842696649,0.004802631578947469,0.01827715355805256,0.005172284644194838,0.01188448074679113,0.04044910179640728,0.021321989528795847,0.0017997382198952838,0.016619364338913045
Dim 360,0.023921883360085706,0.01836056009334896,0.01806367041198522,0.0039259485924113355,0.004350187265917647,0.029009363295880244,0.008751458576429358,0.035198353293413295,0.02201570680628276,0.002414921465968582,0.01660120531617231
Dim 376,0.02869181380417353,0.018150525087514614,0.005874531835206106,0.028595471236230217,0.017080524344569466,0.017408239700374712,0.007485414235705905,0.002698353293413154,0.029862565445026204,0.010137434554973759,0.016598487353718768
Dim 423,0.012881219903691874,0.01315052508751458,0.01700374531835223,0.020367197062423674,0.0006816479400749021,0.033352059925093755,0.01871645274212375,0.03151197604790423,0.012539267015706795,0.005490837696335056,0.016569492873922082
Dim 869,,,,,0.01088764044943826,,,,0.022251308900523584,,0.016569474674980923
